screen_name,user_name,status_id,url,title,published_date,geoLocation
"green3579","Firehorse","1054066425659150336","Not Available","@BrianKempGA #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:46:34 EDT 2018",
"davecicada","Dave Cicada","1054066432193875968","Not Available","@BrianKempGA Way to keep suppressing votes. You really are a contemptible piece of garbage. Please #Georgia — reject this affront to Democracy. #VoteThemAllOut #GeorgiaVoters","null","Sun Oct 21 13:46:35 EDT 2018",
"bfs465","Dr Lou","1054066445116735490","Not Available","@Atr631 @JohnJHarwood @BrianKempGA And you are a repository of hard Right/Corporate and neo-fascist anti-America propaganda and idiot revisionism. You are in the #mob and the #GOPmob will not win","null","Sun Oct 21 13:46:38 EDT 2018",
"green3579","Firehorse","1054066452141985792","Not Available","@BrianKempGA https://t.co/C3piA44S7M","null","Sun Oct 21 13:46:40 EDT 2018",
"VoterGeorgia","Georgia Voter","1054066467572981760","Not Available","@BrianKempGA @AustinScott4GA #LyinBrian ‘s hot mess. 😕 Note the envelope is NOT the correct color. 🙄 https://t.co/18mNm0imxZ","null","Sun Oct 21 13:46:44 EDT 2018",
"GracieGodzuki","Laurie Jerkins","1054066475005296640","Not Available","@Lederman911 @luvcheez1 @BrianKempGA Oh, the DHS!  So you know VERY little about the Constitution.  Give me a break, the is a race for the Govenor of Georgia, you and YOUR VOTE SUPRESSING CANIDATE are the threat to Democracy right now.","null","Sun Oct 21 13:46:45 EDT 2018",
"green3579","Firehorse","1054066485012815872","Not Available","@BrianKempGA @MicahGravley #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:46:48 EDT 2018",
"green3579","Firehorse","1054066512418398210","Not Available","@BrianKempGA @MicahGravley https://t.co/Sg1sOIkRPg","null","Sun Oct 21 13:46:54 EDT 2018",
"TimpatriotTk","🇺🇸TimPATRIOT🇺🇸","1054066514893119493","Not Available","@mingarla @mel_faith1 @Freeyourmindkid @BrianKempGA So, if I lived in GA, given the choices, I’d vote for @BrianKempGA 💯!! So what does that make me, silly person? I need some comedy in my life today. PLEASE entertain me! Happily waiting for your insightful, thoughtful, & substantive response!!🤪😂","null","Sun Oct 21 13:46:55 EDT 2018",
"green3579","Firehorse","1054066531762503680","Not Available","@BrianKempGA @realDonaldTrump #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:46:59 EDT 2018",
"WileyThruster","Wiley Thruster","1054066538268057601","Not Available","@BrianKempGA https://t.co/q0QD6v5UJk","null","Sun Oct 21 13:47:00 EDT 2018",
"kmcccomcastnet","persistantdeplorable","1054066566919266304","Not Available","📢ATTENTION #GA VOTERS📢

DON'T JUST READ THE HEADLINE. READ THIS ENTIRELY‼️This article debunks every single LIE that Stacey Abrams is stating about @BrianKempGA. STACEY ABRAMS not only LIES but she is TOO EXTREME for Georgia.

#GaPol #MAGA #GaFirst 
https://t.co/aYvhKs8HFp","null","Sun Oct 21 13:47:07 EDT 2018",
"green3579","Firehorse","1054066572875128832","Not Available","@BrianKempGA @realDonaldTrump https://t.co/Brw21Rx03y","null","Sun Oct 21 13:47:09 EDT 2018",
"Metric_SSBM","Stephen","1054066594492616705","Not Available","Please don't cross any lines in civility toward politicians who never have town halls, and instead focus on civil processes like waiting in line for three hours to vote in an election where the legitimacy of your vote will be decided by the one of the candidates. https://t.co/kubjHzrOL4","null","Sun Oct 21 13:47:14 EDT 2018",
"green3579","Firehorse","1054066624427245568","Not Available","@BrianKempGA #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:47:21 EDT 2018",
"shauxnough","A still life drawing of a peach","1054066616466661376","Not Available","Looking at you, @BrianKempGA","null","Sun Oct 21 13:47:19 EDT 2018",
"Metric_SSBM","Stephen","1054066631062814721","Not Available","Week 101. The photo is GA -people waiting 3 hours in line 3 weeks before the election to vote because of efforts by their SoS @BrianKempGA running for gov, to steal their vote.  On top of the other 159 not normal items this week, how is this democracy?!
https://t.co/w6RXE0iJqk","null","Sun Oct 21 13:47:23 EDT 2018",
"green3579","Firehorse","1054066650968805377","Not Available","@BrianKempGA https://t.co/jtYtjSabeW","null","Sun Oct 21 13:47:27 EDT 2018",
"BrendaRamosMA","Brenda Ramos","1054066673853042688","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:47:33 EDT 2018",
"Mrs_Bee52","Mrs. Bee","1054066685538418688","Not Available","@BrianKempGA Did your God tell you to do that?","null","Sun Oct 21 13:47:36 EDT 2018",
"KelleyA07553426","Kelley Avery","1054066691104276482","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:47:37 EDT 2018",
"BarbaraJHarris8","Barbara J. Harris","1054066717591265280","https://t.co/wnq4SlsEnX","Great video, Garrison. Honored to have your strong support! #gapol https://t.co/wnq4SlsEnX","null","Sun Oct 21 13:47:43 EDT 2018",
"SaraBartlett17","Sara Bartlett","1054066719810117632","Not Available","@realDonaldTrump .@BrianKempGA & @KrisKobach1787 suppressing thousands of voters but sure, "they'll make great Governors" 
https://t.co/bgLEXvHeGq","null","Sun Oct 21 13:47:44 EDT 2018",
"CooperS58908827","CooperS","1054066750747299840","Not Available","#BrianKempIsCorrupt","null","Sun Oct 21 13:47:51 EDT 2018",
"LingZhiTweet","LingZhi","1054066801745657856","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:48:03 EDT 2018",
"nonameatl","noname","1054066805373894656","Not Available","@realDonaldTrump Speaking of fraud...that’s what you and your incompetent, immoral GOP henchmen are. The only voter fraud being committed is by the @BrianKempGA who is expert at suppression, intimidation & disenfranchisement.","null","Sun Oct 21 13:48:04 EDT 2018",
"green3579","Firehorse","1054066883647819776","Not Available","@BrianKempGA @brian_harris89 @dolezal4senate JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW 
JUST SAY NO TO THE NEW JIM CROW","null","Sun Oct 21 13:48:23 EDT 2018",
"LindaWa32273678","Linda Walker","1054066888282648576","Not Available","🇺🇸AWESOME PATRIOTS TO 

FOLLOW🇺🇸ALL HANDS ON DECK🇺🇸

#MidtermElections2018 
@MissILmom 
@Golfinggary5222 
@JimTuscaloosaAl 
@Jamierodr10 
@Landslide1973 
@gspatton007 
@LisaSmith4680 
@ROHLL5 
@MastersVccc 
@betseyross 
@BrianKempGA 
@RealDark_Kent https://t.co/bQ3tpDIaQy","null","Sun Oct 21 13:48:24 EDT 2018",
"green3579","Firehorse","1054066963029254145","Not Available","@caroler42 @BrianKempGA @brian_harris89 @dolezal4senate #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat #KempIsACheat","null","Sun Oct 21 13:48:42 EDT 2018",
"jamestsmith70","James Smith","1054066982973329409","Not Available","I think he’s talking to you, @BrianKempGA. We know what you did to purge thousands of registered voters.","null","Sun Oct 21 13:48:47 EDT 2018",
"SMBWhitney","Susan Whitney","1054067011448377344","Not Available","Lock up Kemp
@electionland","null","Sun Oct 21 13:48:53 EDT 2018",
"amy_v1234","Amy V","1054067034949144583","Not Available","@BrianKempGA How about trying to win fair and square.. NO Voter suppression","null","Sun Oct 21 13:48:59 EDT 2018",
"bfs465","Dr Lou","1054067068214108160","Not Available","@Xynyx2001 @EllenRipley92 @geeniusatwrok @JohnJHarwood @BrianKempGA Even more important not to get into protracted and distracted debate about explicit terms. That exactly serves the GOP purpose just as does being led by Trump lies. 

We need to - together - clearly organize and put our focus on #GOP #electoralfraud and overt #votersuppression.","null","Sun Oct 21 13:49:07 EDT 2018",
"swbear35","selena mclendon","1054067141052456960","Not Available","Big thanks to @brian_harris89 and @dolezal4senate for working non stop to turn out the vote. Keep choppin’! #gapol https://t.co/Cgh7cnAbuo","null","Sun Oct 21 13:49:24 EDT 2018",
"andersonf150","Kathy A","1054067209461477378","Not Available","@Capitan00teri @BrianKempGA It’s an effort to eliminate the mass of deliberate voter fraud. Perhaps you have a better process to offer to ensure accurate election results.","null","Sun Oct 21 13:49:41 EDT 2018",
"bmh1973","brady  M henderson","1054067360951427072","Not Available","On 4th of July in my hometown  ( Covington) on the square @BrianKempGA looked at me like I was the invisible man (only campaigning to those who "look" like him ).Sir , tomorrow I will be  seen & heard #myvotemattters #myvoicemyvote #earlyvoting #georgiavoter #myvotecounts #GOVOTE","null","Sun Oct 21 13:50:17 EDT 2018",
"tljones1908","tjonesMBA,MS","1054067369063182336","Not Available","@BrianKempGA @AustinScott4GA Chicken farmers in Clayton and all over the state of GA are about to be hurt majorly by Trumps tariffs!! Johnny Isakson had to write Commerce Sec to try and help. Kemp does us a real disservice when he deflects from this since it impacts all of our lives. 
GA FARMERS BEWARE!","null","Sun Oct 21 13:50:19 EDT 2018",
"VernerLeslie","Leslie Verner","1054067467839045632","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:50:42 EDT 2018",
"demillle","Kathy 😀🍷🇨🇦 🏒 🐬","1054067470850387968","Not Available","We need everyone to flood @BrianKempGA with protest tweets. Do you have a big following on Twitter? Help shine a strong light on this so the story goes viral.

@DemWrite 
@EdKrassen 
@SpicyFiles 
@NathanLerner 
@RVAwonk 
@ezraklein 
@AdamSchiff 
@JasonKander 
@krassenstein  
More https://t.co/1YNWpKPnbc","null","Sun Oct 21 13:50:43 EDT 2018",
"bfs465","Dr Lou","1054067491016708096","Not Available","@geeniusatwrok @bfs465 @JohnJHarwood @BrianKempGA Semantics as far as I'm concerned.  The point is GOP claim of voter fraud is false, but GOP voter suppression of Dems is happening in plain sight.

#VoterSuppressionIsUnAmerican","null","Sun Oct 21 13:50:48 EDT 2018",
"VoterGeorgia","Georgia Voter","1054067631085551617","Not Available","@wisdom_galore7 @BrianKempGA @AustinScott4GA 🐕 📣","null","Sun Oct 21 13:51:21 EDT 2018",
"pubcav","Pubcav","1054067672156172290","Not Available","@SethAbramson
@StephenKing 
@kharyp
@MollyJongFast
@SteveSchmidtSES  
@votevets
@lauferlaw
@Alyssa_Milano
@TeaPainUSA    
@benwikler
@Kris_Sacrebleu
@mikefarb1
@sarahkendzior 
@tedlieu","null","Sun Oct 21 13:51:31 EDT 2018",
"Gskewes1","De Gera","1054067710651334656","Not Available","BRIAN KEMP IS SCARED HAHAHA @BrianKempGA 😂😂😂😂","null","Sun Oct 21 13:51:40 EDT 2018",
"826irish","Ann Byrnes","1054067753135587334","Not Available","@KingYeshuaReign @BrianKempGA @thecjpearson @universityofga BOT!","null","Sun Oct 21 13:51:50 EDT 2018",
"bfs465","Dr Lou","1054067787080065024","Not Available","@Will_4NSK_CPA @geeniusatwrok @JohnJHarwood @BrianKempGA Indeed. It is more important not to get into protracted/distracted debate about explicit terms. That exactly serves the GOP purpose just as does being led by Trump lies. 

We need to - together - clearly organize & put our focus on #GOP #electoralfraud & overt #votersuppression.","null","Sun Oct 21 13:51:58 EDT 2018",
"SplaneCharlotte","Charlotte Splane","1054067804704571393","Not Available","📢ATTENTION #GA VOTERS📢

DON'T JUST READ THE HEADLINE. READ THIS ENTIRELY‼️This article debunks every single LIE that Stacey Abrams is stating about @BrianKempGA. STACEY ABRAMS not only LIES but she is TOO EXTREME for Georgia.

#GaPol #MAGA #GaFirst 
https://t.co/aYvhKs8HFp","null","Sun Oct 21 13:52:02 EDT 2018",
"mel_faith1","ℳel 🖤","1054067895884488704","Not Available","@mingarla @mel_faith1 @Freeyourmindkid @BrianKempGA So, if I lived in GA, given the choices, I’d vote for @BrianKempGA 💯!! So what does that make me, silly person? I need some comedy in my life today. PLEASE entertain me! Happily waiting for your insightful, thoughtful, & substantive response!!🤪😂","null","Sun Oct 21 13:52:24 EDT 2018",
"RealChrisMock","Chris Mock","1054067921469784064","Not Available","Honored to have the strong endorsement of Congressman @AustinScott4GA and look forward to working together to strengthen rural Georgia and keep our entire state moving in the right direction! #gapol #gagop #tcot #gafirst https://t.co/F8WTJ1NIiK","null","Sun Oct 21 13:52:30 EDT 2018",
"SarahLies4Trump","👻🎃🕷ѕαrαh ѕlαndєrѕ MOB BOSS LADY👹💀🕸","1054068011718590464","Not Available","@realDonaldTrump 1/  LIAR LIAR PANTS ON FIRE! Nothing is being done because if there was, @BrianKempGA would have been recalled from his position already! 

Georgia has been contending with corruption, incompetence and negligence from Kemp, whose actions have undermined voting systems, election","null","Sun Oct 21 13:52:52 EDT 2018",
"Jonee61","Jo-nee is Resisting!  🌊✌","1054068029829627904","Not Available","@BrianKempGA cheating the Georgian Voters.","null","Sun Oct 21 13:52:56 EDT 2018",
"BlakelyAdrian","Adrian Blakely","1054068050767409152","Not Available","@SethAbramson Good Ole Boy @BrianKempGA should be prosecuted for election tampering. What a refugee from the 19th Century - the worst choice for GA.","null","Sun Oct 21 13:53:01 EDT 2018",
"Len21878832","Len ⭐ ⭐ ⭐","1054068115179560960","Not Available","📢ATTENTION #GA VOTERS📢

DON'T JUST READ THE HEADLINE. READ THIS ENTIRELY‼️This article debunks every single LIE that Stacey Abrams is stating about @BrianKempGA. STACEY ABRAMS not only LIES but she is TOO EXTREME for Georgia.

#GaPol #MAGA #GaFirst 
https://t.co/aYvhKs8HFp","null","Sun Oct 21 13:53:16 EDT 2018",
"TabiteeButler","undead unfortunately","1054068153926512641","Not Available","Please don't cross any lines in civility toward politicians who never have town halls, and instead focus on civil processes like waiting in line for three hours to vote in an election where the legitimacy of your vote will be decided by the one of the candidates. https://t.co/kubjHzrOL4","null","Sun Oct 21 13:53:26 EDT 2018",
"MichaelUGADad","Michael Whitfield","1054068157579714561","Not Available","@BrianKempGA @MicahGravley She should pay her taxes!!","null","Sun Oct 21 13:53:27 EDT 2018",
"bevervanbever","Ellie van Bever","1054068159441985536","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:53:27 EDT 2018",
"Garage_Floor","Zoe Stein","1054068239066644480","Not Available","@JohnJHarwood Sounds corrupt? @BrianKempGA is the definition of corruption. Not to mention bigoted and arrogant. He's in training for a new position in the @realDonaldTrump cabinet. Secretary of Assholiness.","null","Sun Oct 21 13:53:46 EDT 2018",
"SarahLies4Trump","👻🎃🕷ѕαrαh ѕlαndєrѕ MOB BOSS LADY👹💀🕸","1054068308507529216","Not Available","@realDonaldTrump @BrianKempGA 2/  security and democracy in general. Kemp is maliciously wielding the power of his office to suppress the vote for political gain and silence the voices of thousands of eligible voters -- the majority of them people of color

1. In 2014 approximately 40,000 voter registrations","null","Sun Oct 21 13:54:03 EDT 2018",
"jjbauerx3","Joni Bauer","1054068357224230912","Not Available","Please don't cross any lines in civility toward politicians who never have town halls, and instead focus on civil processes like waiting in line for three hours to vote in an election where the legitimacy of your vote will be decided by the one of the candidates. https://t.co/kubjHzrOL4","null","Sun Oct 21 13:54:14 EDT 2018",
"FloridaCityNet","James Teller","1054068363486527489","Not Available","Want to know why @BrianKempGA is suppressing minority voters in Georgia? It’s part of his strategy, and he even said so. #gapol https://t.co/WSaLrCx8Ex","null","Sun Oct 21 13:54:16 EDT 2018",
"AsilverroseThe","The Silver Rose","1054068412316565506","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:54:27 EDT 2018",
"JillianInc","jillianinc","1054068462807592962","Not Available","@VoterGeorgia @BrianKempGA @torithompson_ @kennesawstate #corrupt DeKalb County, for starters.  🙄","null","Sun Oct 21 13:54:39 EDT 2018",
"tljones1908","tjonesMBA,MS","1054068487306514432","https://t.co/wVYbY7fJX1","@BrianKempGA @AustinScott4GA Also GA Soybean Farmers are hurt by Trumps Tariffs. But Kemp doesn’t talk about that. https://t.co/wVYbY7fJX1","null","Sun Oct 21 13:54:45 EDT 2018",
"826irish","Ann Byrnes","1054068487826694145","Not Available","@BrianKempGA @universityofga Empty words for votes! Georgia know you are a racist, liar and corrupt! You should be in jail! You are denying American citizens the right to vote! You will do anything to win, no matter who you hurt! https://t.co/ef6ChNeR8z","null","Sun Oct 21 13:54:45 EDT 2018",
"tjwwfu","Tim Williams 🏳️‍🌈","1054068492238909440","https://t.co/Y1rePdALaa",".@BrianKempGA belongs in jail. LOCK HIM UP. https://t.co/Y1rePdALaa","null","Sun Oct 21 13:54:46 EDT 2018",
"EmmsG1995","Emma Gardner","1054068496399659010","Not Available","We literally need to bring in @UN observers for some of our states!  Kansas, North Dakota - and Georgia is a full on banana republic thanks to @BrianKempGA and Gov @NathanDeal is letting it happen!","null","Sun Oct 21 13:54:47 EDT 2018",
"ChristofToft","Chris Toft","1054068533641072641","Not Available","@realDonaldTrump So you’re looking closely at @BrianKempGA then, right?","null","Sun Oct 21 13:54:56 EDT 2018",
"HarraJoey","Redacted name ends with B-P","1054068582857035779","Not Available","Honored to have the strong endorsement of Congressman @AustinScott4GA and look forward to working together to strengthen rural Georgia and keep our entire state moving in the right direction! #gapol #gagop #tcot #gafirst https://t.co/F8WTJ1NIiK","null","Sun Oct 21 13:55:08 EDT 2018",
"chicagomexecua","carlswchicago","1054068606311583744","Not Available","@ajplus Purge FRAUD @BrianKempGA","null","Sun Oct 21 13:55:14 EDT 2018",
"cpods","Cherry Pods","1054068622967128069","Not Available","I'm proud to be a Georgia voter and I'm so proud to be voting for @BrianKempGA for governor!

📢 GEORGIA VOTERS!!! Get out and vote early for Brian Kemp!!! 

#RedWave2018 #JobsNotMobs #LiberalismIsAMentalDisorder https://t.co/TrifM4jXSh","null","Sun Oct 21 13:55:18 EDT 2018",
"DennisOLeary50","Dennis OLeary","1054068709747113984","Not Available","@Will_4NSK_CPA @bfs465 @geeniusatwrok @JohnJHarwood @BrianKempGA A further demonstration of the vacancy of the checks and balances we assumed existed. That’s why there will be increasing public confrontations with “elected” people. Reap what you sow!!","null","Sun Oct 21 13:55:38 EDT 2018",
"jcdavid","John C David","1054068727392714752","Not Available","Stacey Abrams could lose by .8% of the vote, while Brian Kemp has disenfranchised over 1,000,000 people (or more than 1% of the Georgia electorate), in his time as Secretary of State. 

Talk about undemocratic and self-dealing corruption. 

@BrianKempGA is a danger to democracy. https://t.co/v5DTeS4tKP","null","Sun Oct 21 13:55:42 EDT 2018",
"SarahLies4Trump","👻🎃🕷ѕαrαh ѕlαndєrѕ MOB BOSS LADY👹💀🕸","1054068777833373696","Not Available","@realDonaldTrump @BrianKempGA 3/  were lost the vast majority were people of color. 
2. The state’s electronic voting machines haven’t been updated since 2005 and run on Windows 2000 received an F- rating can be hacked within minutes. Kemp refuses to do anything.
3. Used the outdated, hackable infrastructure","null","Sun Oct 21 13:55:54 EDT 2018",
